ESM1b_AVE_91,ESM1b_AVE_497,ESM1b_AVE_315
0.580905034,0.674123244,0.029642896
0.54977805,0.621278255,0.269973978
0.763197964,0.701924408,0.09900904
0.621262945,0.5677293,0.290389056
0.612312668,0.666309402,0.129249751
0.526233282,0.628191088,0.443306424
0.749580297,0.820868864,0.164191253
0.490721034,0.65159863,0.090820808
0.611728375,0.751550434,0.192236585
0.598195101,0.643167768,0.180235774
0.618024335,0.657030769,0.184912704
0.570745908,0.635107211,0.115225426
0.376807705,0.466770541,0.41477679
0.603561086,0.583968453,0.131955199
0.656374184,0.681248111,0.192718244
0.515752546,0.760093824,0.167576581
0.263876376,0.857267782,0.040779134
0.598806202,0.656368676,0.185807895
0.617610917,0.677263981,0.056343758
0.466184578,0.758340428,0.165008123
